unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
WCAR,GMB,Gambia,BCG,76.0,83.0,81.0,85.0,88.0,94.0,94.0,98.0,98.0,96.0,98.0,98.0,90.0,92.0,94.0,95.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0
ECAR,GEO,Georgia,BCG,94.0,95.0,96.0,96.0,96.0,97.0,96.0,98.0,96.0,96.0,95.0,95.0,96.0,96.0,95.0,95.0,96.0,95.0,95.0,91.0,87.0,91.0,94.0,95.0
WCAR,GHA,Ghana,BCG,97.0,96.0,99.0,93.0,96.0,98.0,99.0,94.0,97.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,92.0,92.0,92.0,94.0,99.0
LACR,GTM,Guatemala,BCG,88.0,87.0,85.0,93.0,90.0,88.0,93.0,91.0,92.0,93.0,99.0,94.0,91.0,99.0,93.0,99.0,88.0,96.0,96.0,98.0,97.0,96.0,93.0,95.0
WCAR,GIN,Guinea,BCG,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,66.0,71.0,77.0,82.0,93.0,91.0,87.0,84.0,81.0,80.0,79.0,80.0,80.0,81.0,81.0
WCAR,GNB,Guinea-Bissau,BCG,81.0,80.0,34.0,67.0,84.0,89.0,87.0,91.0,92.0,93.0,93.0,94.0,92.0,93.0,94.0,93.0,92.0,90.0,89.0,87.0,84.0,82.0,79.0,77.0
LACR,GUY,Guyana,BCG,99.0,99.0,90.0,94.0,99.0,99.0,97.0,95.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,96.0,97.0,96.0,96.0,94.0,95.0,91.0,95.0,93.0
LACR,HTI,Haiti,BCG,73.0,73.0,73.0,73.0,73.0,83.0,83.0,83.0,83.0,81.0,82.0,82.0,83.0,82.0,80.0,78.0,78.0,75.0,75.0,74.0,74.0,73.0,72.0,72.0
LACR,HND,Honduras,BCG,72.0,77.0,82.0,83.0,87.0,93.0,92.0,93.0,94.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,98.0,91.0,94.0,99.0,99.0
Non-programme,HUN,Hungary,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ROSA,IND,India,BCG,89.0,91.0,84.0,85.0,92.0,92.0,92.0,89.0,87.0,89.0,91.0,90.0,90.0,89.0,88.0,86.0,87.0,86.0,86.0,80.0,77.0,75.0,75.0,74.0
