unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,FJI,Fiji,MCV1,99,99,99,96,96,95,99,97,97,99,94,98,96,96.0,95.0,95.0,94.0,92.0,90.0,88.0,86.0,85.0,83.0,81.0
Non-programme,FIN,Finland,MCV1,94,94,93,95,96,96,94,94,95,96,97,97,97,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0
Non-programme,FRA,France,MCV1,95,95,94,94,92,90,90,90,91,91,90,91,89,89.0,89.0,89.0,90.0,89.0,87.0,88.0,87.0,86.0,85.0,84.0
WCAR,GAB,Gabon,MCV1,66,52,64,53,62,59,63,64,68,61,70,71,72,62.0,63.0,67.0,62.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
WCAR,GMB,Gambia,MCV1,80,74,79,82,85,91,90,97,97,96,96,95,91,92.0,96.0,92.0,88.0,89.0,91.0,92.0,90.0,90.0,89.0,89.0
ECAR,GEO,Georgia,MCV1,95,90,90,91,99,98,95,93,96,92,97,93,91,94.0,83.0,97.0,97.0,96.0,90.0,86.0,76.0,75.0,74.0,73.0
Non-programme,DEU,Germany,MCV1,97,97,97,97,97,97,97,97,97,97,97,97,97,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,94.0,92.0
WCAR,GHA,Ghana,MCV1,90,95,94,88,92,92,95,89,89,92,89,88,91,93.0,93.0,86.0,95.0,85.0,83.0,83.0,80.0,78.0,78.0,90.0
ECAR,GRC,Greece,MCV1,97,97,97,97,97,97,97,97,97,97,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,92.0,91.0,89.0
LACR,GRD,Grenada,MCV1,82,76,70,83,94,84,85,95,99,94,94,94,95,95.0,98.0,99.0,98.0,98.0,99.0,74.0,99.0,96.0,99.0,92.0
LACR,GTM,Guatemala,MCV1,88,86,88,89,90,89,94,89,79,68,91,93,89,93.0,92.0,96.0,86.0,95.0,93.0,95.0,94.0,92.0,91.0,86.0
WCAR,GIN,Guinea,MCV1,47,47,47,47,47,47,47,47,47,50,54,58,62,58.0,53.0,55.0,57.0,51.0,51.0,50.0,48.0,46.0,44.0,42.0
WCAR,GNB,Guinea-Bissau,MCV1,72,75,63,72,79,79,66,80,80,81,81,81,83,76.0,69.0,71.0,73.0,74.0,76.0,75.0,74.0,73.0,72.0,71.0
LACR,GUY,Guyana,MCV1,95,95,95,98,98,98,99,99,99,99,99,99,98,95.0,97.0,95.0,96.0,90.0,92.0,88.0,89.0,93.0,92.0,86.0
LACR,HTI,Haiti,MCV1,65,65,65,65,65,69,69,69,69,69,68,66,65,64.0,63.0,62.0,60.0,59.0,58.0,57.0,57.0,56.0,55.0,55.0
LACR,HND,Honduras,MCV1,77,77,81,82,89,91,98,98,98,97,97,97,97,98.0,98.0,93.0,94.0,95.0,96.0,92.0,95.0,97.0,99.0,98.0
Non-programme,HUN,Hungary,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,ISL,Iceland,MCV1,91,91,92,93,93,93,92,91,93,90,91,90,94,93.0,92.0,96.0,95.0,95.0,90.0,93.0,93.0,91.0,88.0,91.0
ROSA,IND,India,MCV1,93,95,89,89,95,93,90,88,87,85,83,83,84,82.0,78.0,72.0,70.0,69.0,68.0,64.0,60.0,56.0,57.0,56.0
EAPR,IDN,Indonesia,MCV1,82,92,72,76,88,89,90,88,87,86,87,82,80,78.0,74.0,76.0,76.0,79.0,77.0,76.0,74.0,72.0,76.0,76.0
MENA,IRN,Iran (Islamic Republic of),MCV1,99,99,99,99,99,99,99,99,99,99,98,98,99,99.0,99.0,98.0,97.0,99.0,94.0,96.0,99.0,99.0,96.0,99.0
MENA,IRQ,Iraq,MCV1,97,97,84,93,86,85,81,79,71,70,73,74,80,75.0,81.0,75.0,64.0,62.0,69.0,69.0,73.0,77.0,82.0,86.0
