unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,DMA,Dominica,HIB3,56,82,92.0,97.0,99.0,94.0,91.0,99.0,98.0,97.0,96.0,97.0,98.0,98.0,99.0,96.0,93.0,7.0,,,,,,
LACR,DOM,Dominican Republic,HIB3,88,86,83.0,80.0,79.0,78.0,77.0,73.0,76.0,87.0,75.0,70.0,71.0,81.0,77.0,79.0,70.0,80.0,87.0,80.0,75.0,43.0,20.0,
LACR,ECU,Ecuador,HIB3,70,70,68.0,70.0,85.0,85.0,85.0,83.0,78.0,83.0,87.0,87.0,88.0,90.0,93.0,95.0,95.0,94.0,90.0,86.0,54.0,,,
MENA,EGY,Egypt,HIB3,96,97,96.0,94.0,95.0,95.0,94.0,95.0,93.0,94.0,,,,,,,,,,,,,,
LACR,SLV,El Salvador,HIB3,96,95,97.0,89.0,96.0,89.0,92.0,98.0,94.0,94.0,92.0,92.0,89.0,89.0,91.0,98.0,99.0,96.0,89.0,90.0,94.0,81.0,,
WCAR,GNQ,Equatorial Guinea,HIB3,74,70,67.0,64.0,62.0,59.0,56.0,53.0,40.0,53.0,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,HIB3,95,95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,,,,,,,,
Non-programme,EST,Estonia,HIB3,89,89,89.0,91.0,91.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,93.0,94.0,95.0,95.0,95.0,88.0,37.0,27.0,,,,
ESAR,SWZ,Eswatini,HIB3,85,97,77.0,83.0,90.0,90.0,90.0,90.0,90.0,98.0,98.0,95.0,91.0,89.0,89.0,,,,,,,,,
ESAR,ETH,Ethiopia,HIB3,72,65,65.0,71.0,68.0,67.0,68.0,66.0,63.0,61.0,59.0,62.0,65.0,62.0,56.0,52.0,47.0,,,,,,,
EAPR,FJI,Fiji,HIB3,99,99,99.0,99.0,97.0,94.0,91.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
Non-programme,FIN,Finland,HIB3,91,91,89.0,90.0,91.0,91.0,89.0,92.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0
Non-programme,FRA,France,HIB3,96,96,96.0,96.0,96.0,95.0,95.0,95.0,96.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,87.0,87.0,86.0,86.0
WCAR,GAB,Gabon,HIB3,70,60,75.0,63.0,70.0,70.0,75.0,75.0,80.0,70.0,79.0,82.0,75.0,67.0,,,,,,,,,,
WCAR,GMB,Gambia,HIB3,84,79,82.0,85.0,88.0,93.0,92.0,95.0,97.0,96.0,97.0,98.0,96.0,97.0,99.0,97.0,94.0,95.0,95.0,93.0,91.0,89.0,87.0,90.0
ECAR,GEO,Georgia,HIB3,88,85,85.0,88.0,94.0,93.0,91.0,92.0,87.0,91.0,96.0,92.0,94.0,67.0,,,,,,,,,,
Non-programme,DEU,Germany,HIB3,90,90,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,93.0,94.0,94.0,93.0,94.0,94.0,94.0
WCAR,GHA,Ghana,HIB3,95,99,98.0,94.0,97.0,97.0,99.0,93.0,88.0,98.0,90.0,92.0,91.0,94.0,94.0,93.0,94.0,84.0,84.0,80.0,80.0,80.0,,
ECAR,GRC,Greece,HIB3,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,94.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0
LACR,GRD,Grenada,HIB3,86,77,77.0,72.0,94.0,95.0,96.0,96.0,92.0,97.0,97.0,97.0,95.0,97.0,99.0,99.0,96.0,91.0,99.0,83.0,97.0,98.0,96.0,33.0
LACR,GTM,Guatemala,HIB3,83,81,80.0,90.0,88.0,85.0,91.0,83.0,70.0,74.0,96.0,96.0,88.0,94.0,92.0,95.0,85.0,89.0,87.0,,,,,
WCAR,GIN,Guinea,HIB3,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,44.0,50.0,57.0,63.0,64.0,57.0,,,,,,,,,
WCAR,GNB,Guinea-Bissau,HIB3,74,74,67.0,74.0,78.0,82.0,79.0,85.0,86.0,86.0,87.0,87.0,89.0,86.0,80.0,,,,,,,,,
LACR,GUY,Guyana,HIB3,98,98,98.0,99.0,99.0,95.0,97.0,97.0,95.0,98.0,98.0,97.0,93.0,95.0,98.0,93.0,94.0,93.0,93.0,91.0,90.0,91.0,85.0,
LACR,HTI,Haiti,HIB3,51,51,51.0,51.0,51.0,64.0,64.0,64.0,64.0,63.0,68.0,,,,,,,,,,,,,
LACR,HND,Honduras,HIB3,73,78,77.0,80.0,88.0,91.0,90.0,95.0,98.0,99.0,99.0,98.0,97.0,97.0,97.0,92.0,93.0,94.0,97.0,93.0,91.0,94.0,95.0,93.0
