unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,LTU,Lithuania,HEPBB,93.0,95.0,93.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,96.0,96.0,98.0,98.0,92.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,MYS,Malaysia,HEPBB,99.0,99.0,99.0,99.0,99.0,95.0,90.0,88.0,88.0,90.0,87.0,91.0,95.0,95.0,95.0,99.0,90.0,90.0,90.0,95.0,90.0,90.0,97.0,92.0
ROSA,MDV,Maldives,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,
EAPR,MHL,Marshall Islands,HEPBB,99.0,99.0,91.0,96.0,98.0,94.0,97.0,99.0,99.0,87.0,92.0,96.0,85.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,MEX,Mexico,HEPBB,61.0,57.0,54.0,50.0,,,,,,,,,,,,,,,,,,,,
EAPR,FSM,Micronesia (Federated States of),HEPBB,78.0,78.0,65.0,64.0,70.0,75.0,75.0,80.0,75.0,72.0,69.0,81.0,81.0,80.0,88.0,87.0,86.0,90.0,93.0,83.0,79.0,74.0,70.0,65.0
EAPR,MNG,Mongolia,HEPBB,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,95.0,98.0,94.0,97.0,98.0,89.0,98.0,99.0,98.0,98.0,96.0
MENA,MAR,Morocco,HEPBB,41.0,41.0,41.0,41.0,41.0,36.0,33.0,22.0,14.0,14.0,14.0,9.0,4.0,20.0,,,,,,,,,,
EAPR,MMR,Myanmar,HEPBB,17.0,8.0,6.0,21.0,17.0,7.0,1.0,,,,,,,,,,,,,,,,,
ESAR,NAM,Namibia,HEPBB,71.0,79.0,80.0,86.0,81.0,76.0,81.0,85.0,87.0,1.0,,,,,,,,,,,,,,
EAPR,NRU,Nauru,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,90.0,95.0,99.0,99.0,98.0
WCAR,NGA,Nigeria,HEPBB,52.0,52.0,52.0,52.0,52.0,41.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,20.0,11.0,2.0,2.0,,,,,,
EAPR,NIU,Niue,HEPBB,93.0,93.0,95.0,98.0,99.0,54.0,84.0,88.0,92.0,96.0,99.0,99.0,99.0,55.0,99.0,99.0,99.0,70.0,9.0,21.0,99.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,HEPBB,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,97.0,95.0,93.0,92.0,90.0,88.0,,,,,,
MENA,OMN,Oman,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,99.0
ROSA,PAK,Pakistan,HEPBB,40.0,,,,,,,,,,,,,,,,,,,,,,,
EAPR,PLW,Palau,HEPBB,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,67.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,PAN,Panama,HEPBB,93.0,97.0,87.0,86.0,85.0,85.0,87.0,84.0,85.0,84.0,79.0,87.0,93.0,89.0,78.0,80.0,83.0,79.0,75.0,85.0,57.0,30.0,2.0,
EAPR,PNG,Papua New Guinea,HEPBB,26.0,24.0,22.0,24.0,21.0,25.0,33.0,35.0,32.0,31.0,37.0,35.0,31.0,31.0,26.0,27.0,29.0,35.0,,,,,,
LACR,PER,Peru,HEPBB,83.0,79.0,77.0,75.0,82.0,83.0,82.0,81.0,79.0,78.0,82.0,81.0,76.0,74.0,71.0,79.0,73.0,66.0,67.0,68.0,60.0,,,
EAPR,PHL,Philippines,HEPBB,57.0,53.0,39.0,53.0,60.0,50.0,52.0,52.0,49.0,44.0,34.0,29.0,33.0,35.0,34.0,21.0,9.0,,,,,,,
Non-programme,POL,Poland,HEPBB,79.0,79.0,79.0,79.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,PRT,Portugal,HEPBB,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,96.0,95.0,95.0,95.0,91.0,86.0,86.0,84.0,99.0,82.0,64.0
