unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,DOM,Dominican Republic,DTP3,90,88,84,82,89,87,84,87,85,91,83,85,84,88.0,82.0,82.0,85.0,89.0,87.0,79.0,79.0,82.0,72.0,78.0
LACR,ECU,Ecuador,DTP3,70,70,72,70,85,85,85,83,78,83,87,87,88,91.0,94.0,96.0,96.0,96.0,92.0,88.0,87.0,88.0,89.0,87.0
MENA,EGY,Egypt,DTP3,96,97,96,94,95,95,94,95,93,94,97,93,96,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,97.0,99.0,98.0
LACR,SLV,El Salvador,DTP3,96,95,97,89,96,89,92,98,94,94,92,93,89,89.0,91.0,98.0,99.0,96.0,89.0,90.0,94.0,81.0,92.0,99.0
WCAR,GNQ,Equatorial Guinea,DTP3,74,70,67,64,62,59,56,53,40,53,53,54,54,54.0,52.0,50.0,48.0,46.0,44.0,43.0,41.0,39.0,37.0,35.0
ESAR,ERI,Eritrea,DTP3,95,95,95,95,95,95,95,95,95,94,94,94,94,95.0,95.0,95.0,95.0,94.0,96.0,98.0,93.0,90.0,86.0,81.0
Non-programme,EST,Estonia,DTP3,90,90,90,91,91,92,93,93,93,93,94,94,93,94.0,95.0,95.0,95.0,95.0,96.0,94.0,94.0,94.0,94.0,93.0
ESAR,SWZ,Eswatini,DTP3,85,97,77,83,90,90,90,90,90,98,98,95,91,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0
ESAR,ETH,Ethiopia,DTP3,72,65,65,71,68,67,68,66,63,61,59,62,65,61.0,58.0,54.0,50.0,46.0,44.0,40.0,37.0,35.0,32.0,30.0
EAPR,FJI,Fiji,DTP3,99,99,99,99,97,94,91,95,99,99,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,93.0,91.0,90.0
Non-programme,FIN,Finland,DTP3,91,91,89,90,91,91,89,92,97,98,98,99,99,99.0,99.0,99.0,99.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0
Non-programme,FRA,France,DTP3,96,96,96,96,96,96,96,96,97,98,99,99,99,99.0,98.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,97.0,97.0
WCAR,GAB,Gabon,DTP3,70,60,75,63,70,70,75,75,80,70,79,82,75,67.0,76.0,82.0,81.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
WCAR,GMB,Gambia,DTP3,84,79,82,85,88,93,92,95,97,96,97,98,96,97.0,98.0,96.0,95.0,95.0,95.0,87.0,87.0,87.0,87.0,80.0
ECAR,GEO,Georgia,DTP3,88,85,85,88,94,93,91,92,94,91,93,92,94,92.0,88.0,92.0,98.0,88.0,82.0,78.0,75.0,84.0,87.0,80.0
Non-programme,DEU,Germany,DTP3,91,91,91,91,91,91,91,91,93,93,93,95,95,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,93.0,93.0,90.0
WCAR,GHA,Ghana,DTP3,95,99,98,94,97,97,99,93,88,98,90,92,91,94.0,94.0,93.0,94.0,84.0,84.0,80.0,80.0,78.0,79.0,88.0
ECAR,GRC,Greece,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,92.0,91.0,89.0
LACR,GRD,Grenada,DTP3,86,77,77,72,94,95,96,96,92,97,97,97,95,97.0,99.0,99.0,96.0,91.0,99.0,83.0,97.0,98.0,96.0,97.0
LACR,GTM,Guatemala,DTP3,83,81,80,90,88,85,91,83,70,74,96,96,88,94.0,92.0,95.0,85.0,89.0,87.0,87.0,84.0,82.0,77.0,81.0
WCAR,GIN,Guinea,DTP3,47,47,47,47,47,47,47,47,47,44,50,57,63,64.0,57.0,60.0,63.0,57.0,59.0,60.0,57.0,53.0,50.0,46.0
WCAR,GNB,Guinea-Bissau,DTP3,74,74,67,74,78,82,79,85,86,86,87,87,86,83.0,80.0,77.0,74.0,71.0,68.0,64.0,60.0,57.0,53.0,49.0
LACR,GUY,Guyana,DTP3,98,98,98,99,99,95,97,97,95,98,98,97,93,95.0,98.0,93.0,94.0,93.0,93.0,91.0,90.0,91.0,85.0,88.0
LACR,HTI,Haiti,DTP3,51,51,51,51,51,64,64,64,64,63,65,66,68,67.0,65.0,64.0,64.0,62.0,60.0,57.0,53.0,50.0,46.0,43.0
LACR,HND,Honduras,DTP3,73,78,77,80,88,91,90,95,98,99,99,98,97,97.0,97.0,93.0,94.0,95.0,98.0,94.0,92.0,95.0,96.0,94.0
Non-programme,HUN,Hungary,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,ISL,Iceland,DTP3,92,92,92,93,92,91,89,91,92,90,91,89,95,96.0,96.0,98.0,97.0,97.0,95.0,99.0,97.0,95.0,92.0,98.0
ROSA,IND,India,DTP3,91,93,85,85,91,90,89,88,87,85,83,82,82,79.0,74.0,70.0,64.0,65.0,65.0,63.0,61.0,59.0,59.0,58.0
EAPR,IDN,Indonesia,DTP3,83,91,67,77,85,85,85,84,84,88,92,87,81,81.0,78.0,77.0,73.0,72.0,72.0,71.0,71.0,70.0,76.0,75.0
MENA,IRN,Iran (Islamic Republic of),DTP3,99,99,98,99,99,99,99,99,98,99,98,99,99,99.0,99.0,99.0,99.0,98.0,95.0,99.0,99.0,99.0,96.0,99.0
MENA,IRQ,Iraq,DTP3,91,93,78,74,84,86,81,71,68,73,73,72,81,74.0,78.0,69.0,57.0,59.0,65.0,74.0,75.0,77.0,78.0,80.0
