unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,PRT,Portugal,PCV3,98,98.0,98.0,98.0,98.0,98.0,96.0,73.0,,,,,,,,,,,,,,,,
MENA,QAT,Qatar,PCV3,97,97.0,98.0,98.0,98.0,98.0,98.0,97.0,95.0,94.0,99.0,92.0,98.0,97.0,99.0,,,,,,,,,
Non-programme,KOR,Republic of Korea,PCV3,97,97.0,97.0,97.0,98.0,97.0,97.0,98.0,97.0,,,,,,,,,,,,,,,
ECAR,MDA,Republic of Moldova,PCV3,85,79.0,78.0,72.0,80.0,85.0,79.0,77.0,72.0,28.0,1.0,,,,,,,,,,,,,
ECAR,ROU,Romania,PCV3,78,85.0,85.0,85.0,88.0,,,,,,,,,,,,,,,,,,,
Non-programme,RUS,Russian Federation,PCV3,93,92.0,89.0,87.0,85.0,82.0,70.0,35.0,,,,,,,,,,,,,,,,
ESAR,RWA,Rwanda,PCV3,94,97.0,88.0,91.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,,,,,,,,,,
EAPR,WSM,Samoa,PCV3,93,36.0,3.0,,,,,,,,,,,,,,,,,,,,,
Non-programme,SMR,San Marino,PCV3,83,80.0,82.0,82.0,76.0,58.0,56.0,53.0,,,,,,,,,,,,,,,,
WCAR,STP,Sao Tome and Principe,PCV3,86,92.0,97.0,96.0,95.0,95.0,95.0,96.0,96.0,95.0,97.0,,,,,,,,,,,,,
MENA,SAU,Saudi Arabia,PCV3,97,98.0,97.0,95.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,
WCAR,SEN,Senegal,PCV3,80,92.0,90.0,95.0,97.0,92.0,92.0,93.0,89.0,81.0,,,,,,,,,,,,,,
ECAR,SRB,Serbia,PCV3,82,90.0,89.0,88.0,92.0,67.0,,,,,,,,,,,,,,,,,,
Non-programme,SYC,Seychelles,PCV3,97,97.0,95.0,94.0,92.0,16.0,,,,,,,,,,,,,,,,,,
WCAR,SLE,Sierra Leone,PCV3,93,93.0,90.0,91.0,94.0,92.0,90.0,84.0,86.0,83.0,92.0,92.0,75.0,,,,,,,,,,,
Non-programme,SGP,Singapore,PCV3,93,90.0,88.0,87.0,84.0,84.0,83.0,78.0,75.0,68.0,60.0,52.0,40.0,22.0,17.0,,,,,,,,,
