unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,FJI,Fiji,RCV1,99,99,99.0,96.0,96.0,95.0,99.0,97.0,97.0,99.0,94.0,98.0,96.0,96.0,95.0,95.0,94.0,92.0,90.0,88.0,86.0,85.0,83.0,81.0
Non-programme,FIN,Finland,RCV1,94,94,93.0,95.0,96.0,96.0,94.0,94.0,95.0,96.0,97.0,97.0,97.0,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0
Non-programme,FRA,France,RCV1,95,95,94.0,94.0,92.0,90.0,90.0,90.0,91.0,91.0,90.0,91.0,89.0,89.0,89.0,89.0,90.0,89.0,87.0,88.0,87.0,86.0,85.0,84.0
WCAR,GMB,Gambia,RCV1,80,74,79.0,82.0,85.0,91.0,90.0,,,,,,,,,,,,,,,,,
ECAR,GEO,Georgia,RCV1,95,90,90.0,91.0,99.0,98.0,95.0,93.0,96.0,92.0,97.0,93.0,91.0,94.0,83.0,97.0,97.0,96.0,90.0,86.0,,,,
Non-programme,DEU,Germany,RCV1,97,97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,94.0,92.0
WCAR,GHA,Ghana,RCV1,90,95,94.0,88.0,92.0,92.0,95.0,89.0,89.0,92.0,89.0,,,,,,,,,,,,,
ECAR,GRC,Greece,RCV1,97,97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,92.0,91.0,89.0
LACR,GRD,Grenada,RCV1,82,76,70.0,83.0,94.0,84.0,85.0,95.0,99.0,94.0,94.0,94.0,95.0,95.0,98.0,99.0,98.0,98.0,99.0,74.0,99.0,96.0,99.0,92.0
LACR,GTM,Guatemala,RCV1,88,86,88.0,89.0,90.0,89.0,94.0,89.0,79.0,68.0,91.0,93.0,89.0,93.0,92.0,96.0,86.0,95.0,93.0,95.0,94.0,92.0,91.0,
LACR,GUY,Guyana,RCV1,95,95,95.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0,97.0,95.0,96.0,90.0,92.0,88.0,89.0,93.0,92.0,86.0
LACR,HTI,Haiti,RCV1,65,65,65.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,68.0,66.0,65.0,64.0,63.0,62.0,,,,,,,,
LACR,HND,Honduras,RCV1,77,77,81.0,82.0,89.0,91.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,98.0,98.0,93.0,94.0,95.0,96.0,92.0,95.0,97.0,99.0,98.0
Non-programme,HUN,Hungary,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,ISL,Iceland,RCV1,91,91,92.0,93.0,93.0,93.0,92.0,91.0,93.0,90.0,91.0,90.0,94.0,93.0,92.0,96.0,95.0,95.0,90.0,93.0,93.0,91.0,88.0,91.0
ROSA,IND,India,RCV1,93,95,89.0,89.0,95.0,93.0,6.0,,,,,,,,,,,,,,,,,
EAPR,IDN,Indonesia,RCV1,82,92,72.0,76.0,88.0,40.0,15.0,,,,,,,,,,,,,,,,,
MENA,IRN,Iran (Islamic Republic of),RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,99.0,94.0,96.0,,,,
MENA,IRQ,Iraq,RCV1,97,97,84.0,93.0,86.0,83.0,84.0,75.0,76.0,67.0,57.0,68.0,77.0,77.0,87.0,76.0,64.0,52.0,58.0,41.0,45.0,48.0,52.0,
Non-programme,IRL,Ireland,RCV1,89,90,90.0,92.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,92.0,92.0,90.0,90.0,89.0,87.0,86.0,84.0,81.0,78.0,73.0,73.0,79.0
Non-programme,ISR,Israel,RCV1,98,98,99.0,99.0,99.0,98.0,98.0,97.0,98.0,97.0,98.0,96.0,97.0,96.0,97.0,98.0,97.0,96.0,94.0,97.0,96.0,95.0,95.0,95.0
Non-programme,ITA,Italy,RCV1,95,94,94.0,92.0,94.0,93.0,92.0,87.0,85.0,87.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,88.0,87.0,86.0,84.0,81.0,77.0,74.0
LACR,JAM,Jamaica,RCV1,93,91,88.0,93.0,94.0,89.0,95.0,95.0,91.0,92.0,94.0,93.0,88.0,89.0,88.0,88.0,76.0,87.0,84.0,86.0,78.0,86.0,85.0,88.0
Non-programme,JPN,Japan,RCV1,94,98,95.0,98.0,96.0,97.0,97.0,96.0,96.0,98.0,95.0,96.0,94.0,94.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,96.0
MENA,JOR,Jordan,RCV1,95,86,81.0,76.0,93.0,96.0,99.0,99.0,96.0,98.0,98.0,96.0,95.0,95.0,90.0,90.0,97.0,88.0,92.0,98.0,91.0,90.0,87.0,83.0
ECAR,KAZ,Kazakhstan,RCV1,99,99,97.0,93.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,
ESAR,KEN,Kenya,RCV1,91,89,90.0,89.0,92.0,92.0,84.0,,,,,,,,,,,,,,,,,
EAPR,KIR,Kiribati,RCV1,79,85,80.0,82.0,94.0,84.0,81.0,80.0,84.0,88.0,91.0,91.0,90.0,89.0,82.0,72.0,93.0,61.0,85.0,56.0,,,,
MENA,KWT,Kuwait,RCV1,99,99,94.0,95.0,97.0,98.0,99.0,99.0,93.0,94.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,99.0,99.0
ECAR,KGZ,Kyrgyzstan,RCV1,96,94,93.0,92.0,96.0,96.0,95.0,97.0,99.0,96.0,99.0,98.0,97.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,98.0,99.0,
EAPR,LAO,Lao People's Democratic Republic,RCV1,80,76,73.0,79.0,83.0,86.0,86.0,81.0,81.0,81.0,78.0,69.0,,,,,,,,,,,,
Non-programme,LVA,Latvia,RCV1,96,96,97.0,99.0,99.0,98.0,96.0,93.0,96.0,95.0,96.0,90.0,92.0,95.0,92.0,96.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0
MENA,LBN,Lebanon,RCV1,73,67,67.0,74.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,80.0,80.0,79.0,74.0,69.0,63.0,58.0,53.0,59.0,65.0,71.0
ESAR,LSO,Lesotho,RCV1,90,81,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,RCV1,73,73,73.0,73.0,73.0,73.0,94.0,97.0,98.0,93.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,99.0,96.0,91.0,93.0,93.0
Non-programme,LTU,Lithuania,RCV1,87,87,88.0,90.0,93.0,92.0,94.0,94.0,94.0,93.0,93.0,93.0,94.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0
Non-programme,LUX,Luxembourg,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0
ESAR,MWI,Malawi,RCV1,87,82,90.0,90.0,92.0,87.0,83.0,,,,,,,,,,,,,,,,,
EAPR,MYS,Malaysia,RCV1,96,96,96.0,95.0,97.0,98.0,96.0,94.0,93.0,92.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,95.0,93.0,94.0,95.0,96.0
ROSA,MDV,Maldives,RCV1,99,98,97.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,96.0,96.0,96.0,76.0,56.0,,,,,,,
Non-programme,MLT,Malta,RCV1,95,96,90.0,95.0,96.0,96.0,91.0,93.0,89.0,98.0,99.0,93.0,84.0,73.0,82.0,78.0,79.0,94.0,86.0,94.0,90.0,65.0,70.0,74.0
EAPR,MHL,Marshall Islands,RCV1,88,81,85.0,89.0,85.0,83.0,83.0,75.0,75.0,79.0,79.0,78.0,88.0,97.0,78.0,86.0,94.0,96.0,86.0,70.0,90.0,80.0,64.0,94.0
WCAR,MRT,Mauritania,RCV1,92,84,75.0,82.0,75.0,78.0,,,,,,,,,,,,,,,,,,
Non-programme,MUS,Mauritius,RCV1,96,98,87.0,89.0,99.0,99.0,89.0,92.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,98.0,91.0,84.0,90.0,84.0
LACR,MEX,Mexico,RCV1,76,86,99.0,92.0,73.0,97.0,76.0,96.0,97.0,97.0,89.0,99.0,98.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,96.0
EAPR,FSM,Micronesia (Federated States of),RCV1,86,69,64.0,79.0,78.0,73.0,76.0,70.0,74.0,83.0,91.0,91.0,92.0,80.0,86.0,86.0,92.0,83.0,96.0,85.0,91.0,88.0,84.0,85.0
Non-programme,MCO,Monaco,RCV1,88,88,88.0,88.0,88.0,88.0,88.0,89.0,89.0,90.0,91.0,91.0,91.0,93.0,92.0,94.0,95.0,94.0,96.0,96.0,97.0,97.0,98.0,98.0
EAPR,MNG,Mongolia,RCV1,96,94,95.0,97.0,98.0,99.0,99.0,98.0,98.0,98.0,97.0,99.0,98.0,97.0,94.0,,,,,,,,,
ECAR,MNE,Montenegro,RCV1,24,33,18.0,24.0,33.0,42.0,58.0,47.0,64.0,76.0,88.0,90.0,91.0,90.0,86.0,89.0,90.0,90.0,,,,,,
MENA,MAR,Morocco,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,92.0,92.0,92.0,91.0,,,,
ESAR,MOZ,Mozambique,RCV1,65,63,62.0,73.0,83.0,83.0,,,,,,,,,,,,,,,,,,
EAPR,MMR,Myanmar,RCV1,74,75,44.0,91.0,84.0,93.0,83.0,91.0,84.0,,,,,,,,,,,,,,,
ESAR,NAM,Namibia,RCV1,86,89,91.0,90.0,80.0,82.0,80.0,,,,,,,,,,,,,,,,,
EAPR,NRU,Nauru,RCV1,98,98,98.0,98.0,95.0,99.0,95.0,98.0,98.0,98.0,97.0,96.0,99.0,99.0,92.0,99.0,99.0,97.0,,,,,,
ROSA,NPL,Nepal,RCV1,93,90,90.0,87.0,92.0,91.0,90.0,83.0,85.0,88.0,88.0,,,,,,,,,,,,,
Non-programme,NLD,Netherlands (Kingdom of the),RCV1,89,89,93.0,94.0,94.0,93.0,93.0,94.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,96.0,96.0,95.0,95.0,96.0
Non-programme,NZL,New Zealand,RCV1,89,90,91.0,91.0,92.0,92.0,93.0,92.0,93.0,93.0,92.0,92.0,93.0,91.0,89.0,86.0,79.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0
LACR,NIC,Nicaragua,RCV1,85,93,83.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,84.0,93.0,98.0,99.0,86.0
EAPR,NIU,Niue,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,86.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,RCV1,73,71,70.0,63.0,75.0,75.0,83.0,82.0,89.0,93.0,96.0,96.0,97.0,98.0,96.0,98.0,96.0,94.0,96.0,96.0,96.0,98.0,92.0,97.0
Non-programme,NOR,Norway,RCV1,96,96,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,93.0,94.0,93.0,93.0,93.0,93.0,92.0,92.0,90.0,89.0,86.0,87.0,90.0,88.0
MENA,OMN,Oman,RCV1,99,97,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,98.0,98.0,98.0,99.0,99.0,99.0
ROSA,PAK,Pakistan,RCV1,84,82,,,,,,,,,,,,,,,,,,,,,,
EAPR,PLW,Palau,RCV1,96,96,93.0,93.0,97.0,90.0,93.0,96.0,95.0,83.0,99.0,91.0,85.0,39.0,75.0,97.0,91.0,98.0,98.0,99.0,99.0,99.0,91.0,83.0
LACR,PAN,Panama,RCV1,78,87,92.0,80.0,97.0,98.0,98.0,95.0,93.0,90.0,92.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,99.0,97.0,95.0,95.0,95.0,97.0
EAPR,PNG,Papua New Guinea,RCV1,52,41,35.0,44.0,37.0,37.0,41.0,46.0,57.0,,,,,,,,,,,,,,,
