unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,CYP,Cyprus,POL3,95,95,95,95,95,97,97,96,96,98,98,98,98,99.0,99.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0
Non-programme,CZE,Czechia,POL3,94,94,94,96,97,96,94,96,97,99,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,96.0,97.0,97.0,97.0,98.0
EAPR,PRK,Democratic People's Republic of Korea,POL3,0,0,0,70,98,99,99,99,99,99,99,99,99,99.0,98.0,98.0,99.0,98.0,97.0,99.0,99.0,99.0,98.0,93.0
WCAR,COD,Democratic Republic of the Congo,POL3,61,66,65,72,74,72,71,66,69,72,71,69,65,68.0,69.0,67.0,64.0,62.0,60.0,52.0,47.0,40.0,30.0,42.0
Non-programme,DNK,Denmark,POL3,97,98,97,97,97,97,98,94,93,94,94,94,91,90.0,89.0,88.0,87.0,93.0,93.0,95.0,96.0,98.0,97.0,97.0
MENA,DJI,Djibouti,POL3,72,59,59,70,85,84,76,68,84,78,82,81,87,88.0,89.0,89.0,88.0,72.0,71.0,64.0,68.0,62.0,49.0,46.0
LACR,DMA,Dominica,POL3,57,82,92,96,99,94,91,99,98,97,96,97,98,99.0,99.0,95.0,93.0,96.0,98.0,99.0,99.0,98.0,99.0,99.0
LACR,DOM,Dominican Republic,POL3,89,88,83,80,92,86,80,82,87,90,82,85,84,85.0,85.0,86.0,86.0,88.0,86.0,66.0,65.0,74.0,71.0,71.0
LACR,ECU,Ecuador,POL3,59,59,62,72,85,85,83,79,84,84,87,85,85,88.0,91.0,94.0,95.0,92.0,89.0,90.0,97.0,88.0,90.0,83.0
MENA,EGY,Egypt,POL3,96,97,96,95,95,95,94,95,93,94,97,93,96,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,97.0,99.0,98.0
LACR,SLV,El Salvador,POL3,96,93,96,85,97,89,83,98,94,94,90,93,90,89.0,91.0,98.0,99.0,96.0,89.0,90.0,93.0,81.0,94.0,98.0
WCAR,GNQ,Equatorial Guinea,POL3,73,70,68,65,63,60,58,55,37,55,57,58,60,61.0,59.0,57.0,55.0,53.0,51.0,49.0,47.0,45.0,43.0,41.0
ESAR,ERI,Eritrea,POL3,95,95,95,95,95,95,95,95,95,94,94,94,94,95.0,95.0,95.0,95.0,94.0,96.0,98.0,95.0,92.0,89.0,82.0
Non-programme,EST,Estonia,POL3,89,89,89,91,91,92,93,93,93,93,94,94,93,94.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,94.0,94.0,93.0
ESAR,SWZ,Eswatini,POL3,76,97,61,82,89,90,90,90,84,98,98,92,85,89.0,89.0,89.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0
ESAR,ETH,Ethiopia,POL3,72,62,66,72,69,68,66,68,74,68,70,70,70,69.0,65.0,63.0,61.0,59.0,56.0,54.0,55.0,55.0,55.0,55.0
EAPR,FJI,Fiji,POL3,99,99,99,99,97,94,91,89,99,99,99,99,99,98.0,99.0,98.0,99.0,98.0,97.0,96.0,95.0,94.0,92.0,91.0
Non-programme,FIN,Finland,POL3,91,91,89,90,91,91,89,92,97,98,98,99,99,99.0,99.0,97.0,97.0,97.0,97.0,96.0,96.0,95.0,95.0,96.0
Non-programme,FRA,France,POL3,96,96,96,96,96,96,96,96,97,98,99,99,99,99.0,98.0,99.0,99.0,99.0,98.0,99.0,96.0,97.0,98.0,98.0
WCAR,GAB,Gabon,POL3,69,59,69,62,70,64,74,74,79,68,77,80,75,68.0,74.0,81.0,78.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
WCAR,GMB,Gambia,POL3,86,69,89,89,88,93,92,95,96,97,96,98,95,97.0,97.0,96.0,94.0,94.0,94.0,88.0,87.0,86.0,85.0,84.0
ECAR,GEO,Georgia,POL3,88,85,85,88,94,93,91,92,91,91,94,93,88,88.0,93.0,90.0,88.0,89.0,82.0,66.0,74.0,89.0,83.0,81.0
Non-programme,DEU,Germany,POL3,91,91,91,91,91,91,91,91,92,93,93,94,94,94.0,95.0,95.0,95.0,94.0,95.0,96.0,96.0,97.0,96.0,94.0
WCAR,GHA,Ghana,POL3,91,90,98,92,97,98,94,95,88,94,91,91,91,94.0,94.0,92.0,94.0,84.0,85.0,81.0,80.0,80.0,81.0,88.0
ECAR,GRC,Greece,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,95.0,93.0,92.0,90.0,89.0
LACR,GRD,Grenada,POL3,86,73,77,72,94,96,91,98,99,81,98,98,95,94.0,99.0,99.0,96.0,91.0,99.0,84.0,98.0,98.0,96.0,97.0
LACR,GTM,Guatemala,POL3,84,78,79,89,88,85,90,84,80,66,94,94,88,94.0,92.0,96.0,85.0,90.0,87.0,88.0,84.0,82.0,78.0,80.0
WCAR,GIN,Guinea,POL3,48,48,48,48,48,48,48,48,47,42,49,56,63,62.0,60.0,59.0,46.0,53.0,59.0,65.0,61.0,56.0,52.0,47.0
WCAR,GNB,Guinea-Bissau,POL3,75,51,23,63,60,82,79,81,83,84,86,87,85,82.0,78.0,77.0,76.0,74.0,73.0,69.0,65.0,60.0,56.0,52.0
LACR,GUY,Guyana,POL3,99,97,97,91,97,94,94,94,92,97,98,97,93,95.0,97.0,93.0,94.0,92.0,93.0,91.0,91.0,93.0,90.0,79.0
LACR,HTI,Haiti,POL3,51,51,51,51,51,64,64,65,65,63,64,66,67,66.0,65.0,64.0,62.0,61.0,60.0,58.0,56.0,54.0,52.0,50.0
LACR,HND,Honduras,POL3,71,78,77,80,88,91,90,95,98,99,99,98,97,97.0,97.0,93.0,94.0,94.0,98.0,94.0,92.0,95.0,99.0,88.0
Non-programme,HUN,Hungary,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0
Non-programme,ISL,Iceland,POL3,92,92,92,93,93,91,89,91,92,90,91,89,95,96.0,96.0,98.0,97.0,97.0,95.0,99.0,97.0,95.0,92.0,98.0
ROSA,IND,India,POL3,91,93,85,85,90,90,89,86,86,84,82,79,79,76.0,73.0,69.0,67.0,66.0,65.0,58.0,57.0,58.0,58.0,57.0
EAPR,IDN,Indonesia,POL3,82,91,68,76,85,87,88,85,85,90,92,87,81,82.0,85.0,83.0,77.0,78.0,79.0,79.0,80.0,80.0,77.0,72.0
MENA,IRN,Iran (Islamic Republic of),POL3,99,99,98,99,99,99,99,99,98,99,98,99,99,99.0,99.0,99.0,98.0,99.0,95.0,98.0,99.0,99.0,95.0,99.0
MENA,IRQ,Iraq,POL3,91,92,78,78,85,74,82,76,72,76,75,73,82,74.0,78.0,71.0,74.0,63.0,69.0,69.0,73.0,76.0,80.0,83.0
Non-programme,IRL,Ireland,POL3,93,93,94,94,94,94,95,95,95,96,96,95,95,94.0,94.0,93.0,92.0,91.0,90.0,89.0,86.0,83.0,84.0,86.0
Non-programme,ISR,Israel,POL3,98,98,98,98,98,98,98,94,95,95,96,94,94,95.0,96.0,94.0,95.0,94.0,95.0,95.0,93.0,91.0,93.0,93.0
Non-programme,ITA,Italy,POL3,95,95,94,94,96,95,95,93,93,95,96,96,96,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,97.0
LACR,JAM,Jamaica,POL3,98,94,90,95,96,98,93,99,91,93,86,96,93,94.0,90.0,91.0,94.0,99.0,99.0,97.0,99.0,99.0,99.0,95.0
Non-programme,JPN,Japan,POL3,98,99,99,96,98,98,97,99,99,99,99,99,96,98.0,99.0,98.0,97.0,95.0,95.0,97.0,97.0,89.0,81.0,98.0
MENA,JOR,Jordan,POL3,95,92,84,76,87,92,99,98,99,98,98,98,98,98.0,98.0,98.0,98.0,98.0,95.0,95.0,97.0,95.0,97.0,94.0
ECAR,KAZ,Kazakhstan,POL3,99,99,95,88,97,98,99,82,98,95,98,98,99,98.0,99.0,99.0,94.0,99.0,99.0,99.0,99.0,95.0,95.0,96.0
ESAR,KEN,Kenya,POL3,92,91,95,92,88,89,76,84,79,90,93,94,97,90.0,89.0,88.0,76.0,77.0,70.0,73.0,75.0,83.0,77.0,80.0
EAPR,KIR,Kiribati,POL3,87,90,86,91,94,93,90,82,80,79,91,92,95,95.0,84.0,74.0,93.0,86.0,74.0,61.0,79.0,96.0,88.0,90.0
MENA,KWT,Kuwait,POL3,99,95,94,95,97,98,99,99,99,94,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,94.0
ECAR,KGZ,Kyrgyzstan,POL3,92,92,90,87,96,92,93,97,97,95,97,94,94,88.0,96.0,95.0,94.0,93.0,98.0,98.0,98.0,99.0,99.0,99.0
EAPR,LAO,Lao People's Democratic Republic,POL3,83,69,74,78,80,85,84,83,83,83,82,76,78,76.0,67.0,60.0,46.0,56.0,50.0,46.0,52.0,55.0,55.0,57.0
Non-programme,LVA,Latvia,POL3,98,95,94,99,99,96,98,98,94,92,94,91,92,92.0,94.0,94.0,94.0,96.0,99.0,99.0,98.0,98.0,97.0,96.0
MENA,LBN,Lebanon,POL3,55,64,64,67,73,75,76,78,79,81,81,82,82,83.0,83.0,84.0,82.0,80.0,78.0,76.0,74.0,77.0,80.0,83.0
ESAR,LSO,Lesotho,POL3,87,65,87,87,87,87,87,87,85,88,90,93,95,92.0,89.0,86.0,87.0,88.0,88.0,89.0,90.0,84.0,78.0,82.0
WCAR,LBR,Liberia,POL3,72,52,64,67,69,79,79,73,65,62,80,80,77,71.0,84.0,79.0,67.0,66.0,66.0,47.0,49.0,51.0,54.0,56.0
MENA,LBY,Libya,POL3,73,73,73,73,73,73,96,97,97,94,96,98,98,98.0,98.0,98.0,98.0,98.0,98.0,97.0,95.0,93.0,94.0,94.0
Non-programme,LTU,Lithuania,POL3,90,90,90,91,92,92,94,94,93,93,93,93,92,95.0,98.0,96.0,95.0,94.0,93.0,90.0,91.0,97.0,97.0,92.0
Non-programme,LUX,Luxembourg,POL3,99,99,99,99,99,99,99,99,99,99,99,99,96,96.0,96.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ESAR,MDG,Madagascar,POL3,63,55,55,67,69,71,69,72,68,71,72,71,73,70.0,76.0,77.0,83.0,83.0,80.0,74.0,65.0,61.0,60.0,58.0
ESAR,MWI,Malawi,POL3,91,87,89,93,94,91,87,83,88,87,89,95,97,86.0,93.0,92.0,88.0,99.0,94.0,94.0,85.0,79.0,86.0,73.0
EAPR,MYS,Malaysia,POL3,97,97,95,98,98,99,99,98,99,97,97,97,96,96.0,97.0,97.0,97.0,95.0,96.0,95.0,96.0,94.0,95.0,98.0
ROSA,MDV,Maldives,POL3,99,99,97,99,99,99,99,99,99,99,99,99,96,97.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,98.0,97.0,98.0
WCAR,MLI,Mali,POL3,68,68,69,65,70,71,72,72,66,62,57,65,72,77.0,77.0,74.0,76.0,79.0,78.0,70.0,67.0,65.0,56.0,53.0
Non-programme,MLT,Malta,POL3,98,98,99,98,98,97,98,97,97,99,99,99,96,76.0,73.0,72.0,76.0,83.0,94.0,89.0,94.0,95.0,95.0,94.0
EAPR,MHL,Marshall Islands,POL3,84,86,85,82,78,80,79,69,85,77,79,80,88,95.0,99.0,96.0,91.0,95.0,88.0,68.0,80.0,80.0,56.0,36.0
WCAR,MRT,Mauritania,POL3,90,81,76,81,75,72,70,69,67,81,80,80,73,52.0,63.0,73.0,75.0,68.0,71.0,68.0,75.0,91.0,75.0,58.0
Non-programme,MUS,Mauritius,POL3,97,95,93,94,97,98,95,96,98,98,98,98,98,99.0,99.0,99.0,96.0,98.0,97.0,98.0,99.0,88.0,93.0,88.0
LACR,MEX,Mexico,POL3,85,83,78,72,82,88,85,93,87,87,83,99,97,95.0,95.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0
EAPR,FSM,Micronesia (Federated States of),POL3,79,68,72,82,78,75,72,68,71,76,81,81,83,85.0,81.0,88.0,79.0,81.0,94.0,82.0,88.0,84.0,79.0,85.0
Non-programme,MCO,Monaco,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,MNG,Mongolia,POL3,97,95,96,97,98,99,99,99,99,99,98,99,99,96.0,96.0,95.0,99.0,98.0,99.0,99.0,98.0,98.0,95.0,94.0
ECAR,MNE,Montenegro,POL3,81,80,83,84,85,86,87,89,89,91,94,94,95,93.0,91.0,95.0,92.0,90.0,,,,,,
MENA,MAR,Morocco,POL3,99,99,99,99,99,99,99,99,99,99,99,99,98,99.0,99.0,99.0,95.0,97.0,98.0,97.0,91.0,94.0,93.0,95.0
ESAR,MOZ,Mozambique,POL3,78,74,64,75,84,84,84,84,84,84,81,79,76,73.0,74.0,74.0,75.0,73.0,71.0,69.0,67.0,76.0,72.0,69.0
EAPR,MMR,Myanmar,POL3,80,75,43,86,90,91,89,89,89,88,76,87,90,90.0,90.0,85.0,84.0,82.0,86.0,92.0,86.0,84.0,77.0,88.0
ESAR,NAM,Namibia,POL3,77,86,73,92,84,84,83,84,92,88,89,84,85,83.0,83.0,83.0,81.0,74.0,86.0,81.0,82.0,78.0,79.0,80.0
EAPR,NRU,Nauru,POL3,97,97,98,95,96,90,87,97,91,95,87,79,99,99.0,99.0,99.0,99.0,90.0,80.0,73.0,66.0,59.0,99.0,27.0
ROSA,NPL,Nepal,POL3,93,87,91,84,92,91,90,85,90,92,92,90,92,83.0,93.0,82.0,82.0,91.0,78.0,80.0,76.0,72.0,73.0,74.0
Non-programme,NLD,Netherlands (Kingdom of the),POL3,92,93,95,94,94,93,94,95,95,96,97,97,97,97.0,97.0,97.0,97.0,96.0,96.0,98.0,98.0,97.0,97.0,97.0
Non-programme,NZL,New Zealand,POL3,88,89,90,92,92,93,94,92,92,93,92,93,95,93.0,92.0,89.0,88.0,89.0,89.0,87.0,86.0,84.0,82.0,82.0
LACR,NIC,Nicaragua,POL3,90,93,88,93,99,99,99,99,99,99,99,99,99,99.0,99.0,97.0,93.0,88.0,87.0,80.0,86.0,85.0,89.0,85.0
WCAR,NER,Niger,POL3,85,84,82,81,81,79,85,82,83,79,62,71,40,75.0,71.0,68.0,57.0,52.0,46.0,45.0,44.0,43.0,42.0,41.0
WCAR,NGA,Nigeria,POL3,62,62,62,62,66,61,55,53,42,40,40,42,48,54.0,66.0,60.0,54.0,46.0,45.0,43.0,42.0,40.0,36.0,31.0
EAPR,NIU,Niue,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,86.0,99.0,95.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,POL3,86,84,81,84,92,92,91,95,92,96,98,97,97,95.0,96.0,96.0,96.0,92.0,98.0,95.0,96.0,97.0,91.0,96.0
Non-programme,NOR,Norway,POL3,96,97,97,97,97,96,96,96,95,93,94,95,94,93.0,94.0,94.0,93.0,94.0,91.0,92.0,92.0,93.0,91.0,91.0
MENA,OMN,Oman,POL3,99,97,99,99,99,99,99,99,99,99,99,99,99,99.0,96.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
ROSA,PAK,Pakistan,POL3,86,85,83,83,84,75,75,75,72,69,65,64,63,52.0,52.0,53.0,54.0,58.0,63.0,67.0,66.0,64.0,63.0,61.0
EAPR,PLW,Palau,POL3,97,94,95,96,97,98,97,98,89,95,99,89,98,68.0,48.0,92.0,94.0,98.0,98.0,98.0,99.0,99.0,98.0,96.0
LACR,PAN,Panama,POL3,66,82,87,74,88,88,81,86,72,80,81,87,91,95.0,85.0,86.0,84.0,98.0,88.0,92.0,95.0,99.0,95.0,99.0
EAPR,PNG,Papua New Guinea,POL3,46,38,34,43,42,42,35,48,51,43,62,65,55,61.0,70.0,69.0,68.0,65.0,61.0,59.0,62.0,54.0,52.0,51.0
LACR,PRY,Paraguay,POL3,75,58,66,78,84,88,92,93,93,93,89,89,89,89.0,82.0,85.0,95.0,98.0,96.0,92.0,86.0,87.0,90.0,86.0
LACR,PER,Peru,POL3,84,82,79,72,87,87,88,88,88,78,71,94,91,92.0,92.0,93.0,93.0,94.0,66.0,81.0,95.0,95.0,90.0,93.0
EAPR,PHL,Philippines,POL3,77,83,66,82,85,84,82,81,79,82,85,88,88,88.0,87.0,87.0,87.0,88.0,90.0,85.0,85.0,77.0,76.0,74.0
Non-programme,POL,Poland,POL3,85,85,84,86,87,87,90,92,92,94,95,95,96,96.0,96.0,96.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0
Non-programme,PRT,Portugal,POL3,99,99,99,99,99,99,98,98,98,98,98,98,97,97.0,96.0,97.0,96.0,97.0,93.0,95.0,96.0,96.0,96.0,96.0
MENA,QAT,Qatar,POL3,98,99,98,89,99,98,97,98,99,99,99,93,92,98.0,98.0,98.0,97.0,95.0,98.0,95.0,93.0,96.0,93.0,91.0
Non-programme,KOR,Republic of Korea,POL3,97,97,98,98,98,98,97,98,98,99,99,99,98,95.0,95.0,92.0,91.0,98.0,96.0,90.0,94.0,99.0,99.0,99.0
ECAR,MDA,Republic of Moldova,POL3,88,88,88,87,94,94,90,91,88,92,92,92,96,97.0,87.0,96.0,93.0,98.0,99.0,98.0,98.0,98.0,98.0,97.0
ECAR,ROU,Romania,POL3,78,85,86,87,88,86,82,89,89,94,88,92,89,94.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,98.0,99.0,99.0
Non-programme,RUS,Russian Federation,POL3,97,97,97,97,96,96,96,97,97,97,98,98,97,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0
ESAR,RWA,Rwanda,POL3,94,97,88,91,98,97,98,99,99,98,98,98,93,93.0,93.0,97.0,98.0,99.0,95.0,89.0,96.0,85.0,76.0,90.0
LACR,KNA,Saint Kitts and Nevis,POL3,96,96,96,99,97,98,97,99,91,96,97,98,99,91.0,95.0,98.0,99.0,99.0,99.0,96.0,99.0,97.0,99.0,99.0
LACR,LCA,Saint Lucia,POL3,97,80,75,88,91,95,80,95,99,99,99,98,99,97.0,95.0,96.0,99.0,85.0,95.0,91.0,91.0,90.0,99.0,70.0
LACR,VCT,Saint Vincent and the Grenadines,POL3,99,99,92,99,99,99,99,99,99,97,97,96,96,99.0,99.0,99.0,99.0,99.0,93.0,99.0,99.0,99.0,99.0,99.0
EAPR,WSM,Samoa,POL3,84,76,80,89,68,44,66,73,78,76,81,82,79,74.0,61.0,69.0,63.0,49.0,66.0,35.0,90.0,91.0,88.0,98.0
Non-programme,SMR,San Marino,POL3,91,92,90,89,88,91,89,86,85,84,86,89,92,89.0,90.0,90.0,90.0,91.0,94.0,94.0,94.0,95.0,95.0,96.0
WCAR,STP,Sao Tome and Principe,POL3,85,89,93,94,95,95,95,96,96,95,97,96,96,98.0,99.0,99.0,98.0,97.0,97.0,99.0,94.0,92.0,90.0,87.0
MENA,SAU,Saudi Arabia,POL3,96,98,97,95,97,98,97,97,97,98,98,98,98,98.0,98.0,98.0,96.0,96.0,96.0,96.0,95.0,95.0,97.0,95.0
WCAR,SEN,Senegal,POL3,76,92,89,94,97,92,91,92,85,85,89,83,89,76.0,83.0,87.0,93.0,89.0,84.0,87.0,73.0,60.0,49.0,49.0
ECAR,SRB,Serbia,POL3,93,92,91,92,97,96,95,93,95,93,97,93,94,91.0,97.0,95.0,93.0,97.0,98.0,96.0,89.0,95.0,93.0,98.0
