unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,CZE,Czechia,HEPB3,94,94,94,96.0,97.0,96.0,94.0,96.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,92.0,86.0,,
EAPR,PRK,Democratic People's Republic of Korea,HEPB3,16,0,41,97.0,97.0,97.0,97.0,96.0,96.0,93.0,93.0,96.0,94.0,93.0,93.0,92.0,92.0,96.0,92.0,98.0,27.0,,,
WCAR,COD,Democratic Republic of the Congo,HEPB3,60,65,65,70.0,73.0,71.0,71.0,70.0,70.0,73.0,71.0,71.0,70.0,60.0,71.0,68.0,65.0,,,,,,,
MENA,DJI,Djibouti,HEPB3,72,59,59,70.0,85.0,84.0,76.0,68.0,84.0,78.0,82.0,81.0,87.0,88.0,89.0,88.0,25.0,,,,,,,
LACR,DMA,Dominica,HEPB3,56,82,92,97.0,99.0,94.0,91.0,99.0,98.0,97.0,96.0,97.0,98.0,98.0,99.0,96.0,93.0,7.0,,,,,,
LACR,DOM,Dominican Republic,HEPB3,90,87,83,81.0,87.0,84.0,81.0,80.0,81.0,89.0,80.0,74.0,80.0,83.0,80.0,81.0,81.0,84.0,87.0,82.0,79.0,63.0,66.0,68.0
LACR,ECU,Ecuador,HEPB3,70,70,68,70.0,85.0,85.0,85.0,83.0,78.0,83.0,87.0,88.0,88.0,90.0,91.0,93.0,94.0,96.0,92.0,88.0,82.0,75.0,69.0,36.0
MENA,EGY,Egypt,HEPB3,96,97,96,94.0,95.0,95.0,94.0,95.0,93.0,94.0,97.0,93.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,97.0,99.0,98.0
LACR,SLV,El Salvador,HEPB3,96,95,97,89.0,96.0,89.0,92.0,98.0,94.0,94.0,92.0,92.0,89.0,89.0,91.0,98.0,99.0,96.0,89.0,90.0,94.0,81.0,75.0,99.0
WCAR,GNQ,Equatorial Guinea,HEPB3,74,70,67,64.0,62.0,59.0,56.0,53.0,40.0,53.0,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,HEPB3,95,95,95,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,94.0,96.0,84.0,91.0,86.0,,
Non-programme,EST,Estonia,HEPB3,84,84,84,90.0,91.0,93.0,92.0,93.0,91.0,93.0,93.0,94.0,94.0,94.0,95.0,94.0,95.0,95.0,95.0,90.0,,,,
ESAR,SWZ,Eswatini,HEPB3,85,97,77,83.0,90.0,90.0,90.0,90.0,90.0,98.0,98.0,95.0,91.0,89.0,88.0,90.0,92.0,93.0,95.0,93.0,90.0,88.0,86.0,83.0
ESAR,ETH,Ethiopia,HEPB3,72,65,65,71.0,68.0,67.0,68.0,66.0,63.0,61.0,59.0,62.0,65.0,62.0,56.0,52.0,47.0,,,,,,,
EAPR,FJI,Fiji,HEPB3,99,99,99,99.0,97.0,94.0,91.0,95.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
Non-programme,FRA,France,HEPB3,96,96,95,95.0,93.0,91.0,90.0,90.0,88.0,83.0,82.0,78.0,74.0,64.0,51.0,47.0,42.0,39.0,35.0,35.0,28.0,29.0,28.0,26.0
WCAR,GAB,Gabon,HEPB3,70,60,75,63.0,70.0,70.0,75.0,75.0,80.0,70.0,79.0,82.0,75.0,67.0,79.0,82.0,75.0,52.0,28.0,,,,,
WCAR,GMB,Gambia,HEPB3,84,79,82,85.0,88.0,93.0,92.0,95.0,97.0,96.0,97.0,98.0,96.0,97.0,97.0,98.0,97.0,95.0,95.0,95.0,94.0,92.0,91.0,91.0
ECAR,GEO,Georgia,HEPB3,93,85,85,88.0,94.0,93.0,91.0,92.0,94.0,91.0,96.0,92.0,89.0,95.0,54.0,89.0,94.0,84.0,79.0,64.0,48.0,51.0,61.0,55.0
Non-programme,DEU,Germany,HEPB3,87,87,87,88.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,87.0,86.0,87.0,90.0,88.0,90.0,87.0,86.0,84.0
WCAR,GHA,Ghana,HEPB3,95,99,98,94.0,97.0,97.0,99.0,93.0,88.0,98.0,90.0,92.0,91.0,94.0,94.0,93.0,94.0,84.0,84.0,80.0,80.0,80.0,,
ECAR,GRC,Greece,HEPB3,96,96,96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,92.0,91.0,90.0,89.0
LACR,GRD,Grenada,HEPB3,86,77,77,72.0,94.0,95.0,96.0,96.0,92.0,97.0,97.0,97.0,94.0,97.0,99.0,99.0,96.0,91.0,99.0,83.0,97.0,98.0,96.0,
LACR,GTM,Guatemala,HEPB3,83,81,80,90.0,88.0,85.0,91.0,83.0,70.0,74.0,96.0,96.0,88.0,94.0,92.0,95.0,85.0,89.0,87.0,,,,,
WCAR,GIN,Guinea,HEPB3,47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,44.0,50.0,57.0,63.0,64.0,57.0,57.0,57.0,,,,,,,
WCAR,GNB,Guinea-Bissau,HEPB3,74,74,67,74.0,78.0,82.0,79.0,85.0,86.0,86.0,87.0,87.0,89.0,82.0,80.0,,,,,,,,,
LACR,GUY,Guyana,HEPB3,98,98,98,99.0,99.0,95.0,97.0,97.0,95.0,98.0,98.0,97.0,93.0,95.0,98.0,93.0,94.0,93.0,93.0,91.0,90.0,91.0,85.0,
LACR,HTI,Haiti,HEPB3,51,51,51,51.0,51.0,64.0,64.0,64.0,64.0,63.0,68.0,,,,,,,,,,,,,
LACR,HND,Honduras,HEPB3,73,78,77,80.0,88.0,91.0,90.0,95.0,98.0,99.0,99.0,98.0,97.0,97.0,97.0,92.0,93.0,94.0,97.0,93.0,91.0,94.0,95.0,93.0
ROSA,IND,India,HEPB3,91,93,85,85.0,91.0,90.0,89.0,88.0,87.0,79.0,70.0,73.0,44.0,38.0,37.0,29.0,6.0,6.0,8.0,6.0,,,,
EAPR,IDN,Indonesia,HEPB3,83,91,67,77.0,85.0,85.0,85.0,84.0,84.0,88.0,92.0,86.0,81.0,83.0,82.0,82.0,76.0,66.0,65.0,64.0,64.0,63.0,62.0,65.0
MENA,IRN,Iran (Islamic Republic of),HEPB3,99,99,98,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,97.0,98.0,94.0,95.0,98.0,99.0,94.0,99.0
MENA,IRQ,Iraq,HEPB3,91,93,78,74.0,84.0,86.0,81.0,71.0,68.0,69.0,68.0,65.0,78.0,72.0,75.0,66.0,56.0,59.0,65.0,62.0,63.0,65.0,66.0,67.0
Non-programme,IRL,Ireland,HEPB3,93,93,93,94.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,46.0,,,,,,,,,,
